name,latitude,longitude,corridor
Pluit,-6.1157805556,106.7911722222,9
Penjaringan,-6.1262694444,106.7920222222,9
Jembatan Tiga,-6.1333972222,106.7926916667,9
Jembatan Dua,-6.1432611111,106.7935222222,9
Jembatan Besi,-6.1520111111,106.7949194444,9
Stasiun Grogol Latumenten,-6.1607694444,106.7907166667,9
Grogol 2 Reformasi,-6.1672805556,106.7882138889,9
S Parman Podomoro City,-6.1758611111,106.79315,9
RS Harapan Kita,-6.1852388889,106.7971111111,9
Slipi Kemanggisan,-6.1898361111,106.7969611111,9
Slipi Petamburan,-6.2020666667,106.7999138889,9
Senayan JCC,-6.2138472222,106.8083944444,9
Semanggi,-6.220475,106.8131361111,9
Gatot Subroto LIPI,-6.2274555556,106.8176638889,9
Gatot Subroto Jamsostek,-6.2325666667,106.8216138889,9
Kuningan Barat,-6.2370305556,106.8276472222,9
Tegal Parang,-6.2390277778,106.8311166667,9
Pancoran Barat,-6.2415388889,106.8381083333,9
Pancoran Tugu,-6.243325,106.8438444444,9
Tebet BKPM,-6.2430472222,106.8521194444,9
Cikoko Stasiun Cawang,-6.2430194444,106.8581333333,9
Cawang Ciliwung,-6.2429916667,106.8635444444,9
Cawang BNN,-6.2461055556,106.872075,9
Cawang UKI,-6.2503444444,106.8735916667,9
Tol Jagorawi,0,0,9
Taman Mini Garuda,-6.2901611111,106.881175,9
Pinang Ranti,-6.291175,106.8863916667,9
Tanjung Priok,-6.1095388889,106.8821388889,10
Enggano,-6.1101083333,106.89245,10
Permai Koja,-6.1142055556,106.8933222222,10
Walikota Jakarta Utara,-6.1188361111,106.8934361111,10
Plumpang Pertamina,-6.1285305556,106.8937055556,10
Sunter Kelapa Gading,-6.1430083333,106.8907083333,10
Yos Sudarso Kodamar,-6.1619166667,106.8817138889,10
Cempaka Mas 2,-6.165975,106.8790416667,10
Cempaka Putih,-6.1742222222,106.8764305556,10
Pulomas Bypass,-6.1772194444,106.8759916667,10
Kayu Putih Rawasari,-6.1873805556,106.8754166667,10
Pemuda Pramuka,-6.1928388889,106.8749583333,10
Utan Kayu Rawamangun,-6.1975361111,106.874025,10
Ahmad Yani Bea Cukai,-6.2056611111,106.8737694444,10
Flyover Jatinegara,-6.2155083333,106.8742027778,10
Pedati Prumpung,-6.22035,106.8744083333,10
Cipinang Kebon Nanas,-6.2315861111,106.8763416667,10
Penas Kalimalang,-6.2394194444,106.8780277778,10
Cawang Sutoyo,-6.2447361111,106.8759694444,10
Cawang UKI,-6.2503444444,106.8735916667,10
BKN,-6.2578111111,106.8699416667,10
Cililitan PGC,-6.2620055556,106.8653944444,10
Walikota Jakarta Timur,-6.2125111111,106.9453666667,11
Penggilingan,-6.2138694444,106.9396083333,11
Perumnas Klender,-6.2166638889,106.9305222222,11
Flyover Radin Inten,-6.215925,106.9243083333,11
Buaran,-6.2151138889,106.9177916667,11
Kampung Sumur,-6.2144222222,106.9119027778,11
Flyover Klender,-6.2135861111,106.9030277778,11
Stasiun Klender,-6.2135083333,106.8987,11
Cipinang,-6.21375,106.8894777778,11
Imigrasi Jakarta Timur,-6.2145972222,106.8824111111,11
Pasar Enjo,-6.2148416667,106.8783555556,11
Flyover Jatinegara,-6.2151694444,106.8735,11
Stasiun Jatinegara 2,-6.2155666667,106.8680694444,11
Jatinegara RS Premier,0,0,11
Kampung Melayu,-6.2246416667,106.8668027778,11
